merchan_id,avg_amount_days,transaction_amount,is_declined,number_declines_days,foreign_transaction,high_risk_countries,daily_chbk_avg_amt,6m_avg_chbk_amt,6m_chbk_freq,is_fradulent
5588296997,484.1391246,17913.14761,no,1,yes,yes,992,741,7,fraudulent
3776798621,885.2821332,53116.92799,no,9,yes,no,888,739,8,fraudulent
5195567970,959.1378013,52752.57907,no,0,no,no,786,737,9,fraudulent
4414762348,476.8148727,12874.00156,no,0,no,no,914,728,1,non-fraudulent
5562961422,312.3866556,15306.94612,no,0,no,no,878,728,6,fraudulent
6340264147,695.67784,18783.30168,no,0,yes,no,806,728,3,non-fraudulent
3584037717,984.5235964,26582.1371,no,2,no,no,914,719,5,non-fraudulent
4762163981,735.2684285,18381.71071,no,0,yes,no,835,715,7,fraudulent
6356587989,69.80049552,1814.812884,no,0,yes,no,884,708,6,fraudulent
3835659842,65.74840168,1183.47123,no,0,no,no,714,706,2,non-fraudulent
4489896961,148.6099184,3715.24796,no,0,no,no,916,704,9,fraudulent
5261489968,338.0616937,338.0616937,no,4,yes,no,954,696,6,non-fraudulent
5459497990,773.6826383,22436.79651,no,0,no,no,985,685,1,fraudulent
3160241992,500,27000,no,0,yes,yes,800,677.2,6,fraudulent
3160241992,500,26000,no,0,yes,yes,800,677.2,6,fraudulent
3377525986,518.8298938,518.8298938,no,0,yes,no,730,677,4,non-fraudulent
6148192483,768.5943157,46115.65894,no,9,no,no,795,673,9,fraudulent
3388251889,231.0673178,12708.70248,no,0,no,no,986,650,8,fraudulent
6083913860,871.8621512,28771.45099,no,9,no,no,789,646,4,fraudulent
6619775423,378.3035981,12862.32234,no,0,no,no,956,645,6,fraudulent
4317324133,320.7851986,5132.563178,no,7,no,no,853,639,4,non-fraudulent
3395034027,753.3895864,11300.8438,no,0,no,no,712,638,5,non-fraudulent
5041652546,308.7609554,16673.09159,no,0,no,no,917,633,6,fraudulent
6501390974,59.10458415,295.5229208,no,0,no,no,684,631,5,non-fraudulent
5455100830,846.2701439,19464.21331,no,0,yes,no,887,627,5,non-fraudulent
5734095507,363.183629,13074.61064,no,0,yes,no,971,615,3,fraudulent
4671682416,334.1530379,18378.41708,no,0,no,no,735,608,7,fraudulent
5507239729,145.7400314,5538.121193,no,0,no,no,788,586,9,fraudulent
6661273530,300,15300,yes,6,yes,no,754,585,7,fraudulent
6661273529,300,15000,no,6,yes,no,754,585,7,fraudulent
6661273531,500,14000,yes,6,no,no,754,585,7,fraudulent
6661273530,500,23000,yes,5,yes,no,754,585,7,fraudulent
6661273531,500,22000,yes,5,no,no,754,585,7,fraudulent
6661273529,500,20000,no,5,yes,no,754,585,7,fraudulent
6661273532,500,16500,yes,5,no,no,754,585,7,fraudulent
6661273530,1000,29000,yes,4,yes,no,754,585,7,fraudulent
6661273529,1000,28000,no,4,yes,no,754,585,7,fraudulent
6661273531,500,26500,yes,4,no,no,754,585,7,fraudulent
6661273529,880.9781253,24667.38751,no,4,yes,no,754,585,7,fraudulent
6661273532,500,18000,yes,4,no,no,754,585,7,fraudulent
6661273530,2000,108000,yes,3,yes,no,754,585,7,fraudulent
6661273529,2000,106000,no,3,yes,no,754,585,7,fraudulent
6661273532,500,25500,yes,3,no,no,754,585,7,fraudulent
6661273534,200,11600,no,3,yes,yes,754,585,7,fraudulent
6661273532,200,10400,no,3,no,no,754,585,7,fraudulent
6661273533,200,7800,no,3,no,no,754,585,7,fraudulent
6661273530,2000,80000,yes,2,yes,no,754,585,7,fraudulent
6661273529,2000,54000,yes,2,yes,no,754,585,7,fraudulent
6661273533,1000,49000,yes,2,yes,yes,754,585,7,fraudulent
6661273532,1000,43000,yes,2,yes,yes,754,585,7,fraudulent
6661273532,500,23000,no,2,no,no,754,585,7,fraudulent
6661273533,500,22500,yes,2,no,no,754,585,7,fraudulent
6661273531,300,15000,yes,2,yes,yes,754,585,7,fraudulent
6661273531,500,14000,yes,2,no,no,754,585,7,fraudulent
6661273533,400,14000,yes,2,no,no,754,585,7,fraudulent
6661273534,400,12800,yes,2,yes,yes,754,585,7,fraudulent
6661273532,400,10400,yes,2,no,no,754,585,7,fraudulent
6661273531,300,7800,yes,2,yes,yes,754,585,7,fraudulent
6661273533,100,5300,yes,2,no,no,754,585,7,fraudulent
6661273533,100,3100,yes,2,no,no,754,585,7,fraudulent
6661273529,1000,56000,yes,1,yes,no,754,585,7,fraudulent
6661273534,800,40000,yes,1,yes,yes,754,585,7,fraudulent
6661273533,800,35200,yes,1,no,no,754,585,7,fraudulent
6661273533,1000,35000,yes,1,yes,yes,754,585,7,fraudulent
6661273530,1000,34000,yes,1,yes,no,754,585,7,fraudulent
6661273532,1000,29000,yes,1,yes,yes,754,585,7,fraudulent
6661273534,700,25900,yes,1,yes,yes,754,585,7,fraudulent
6661273532,800,24800,yes,1,no,no,754,585,7,fraudulent
6661273531,500,19500,yes,1,no,no,754,585,7,fraudulent
6661273532,500,17500,yes,1,no,no,754,585,7,fraudulent
6661273531,600,17400,yes,1,yes,yes,754,585,7,fraudulent
6661273531,600,16200,yes,1,yes,yes,754,585,7,fraudulent
6661273533,500,13500,yes,1,no,no,754,585,7,fraudulent
6661273531,1200,61200,yes,0,yes,yes,754,585,7,fraudulent
6661273531,1200,54000,yes,0,yes,yes,754,585,7,fraudulent
6661273534,800,40800,yes,0,yes,yes,754,585,7,fraudulent
6661273533,1500,36000,yes,0,yes,yes,754,585,7,non-fraudulent
6661273534,800,31200,yes,0,yes,yes,754,585,7,fraudulent
6661273530,1000,27000,yes,0,yes,no,754,585,7,fraudulent
6661273529,1000,25000,yes,0,yes,no,754,585,7,non-fraudulent
6661273533,800,20800,yes,0,no,no,754,585,7,non-fraudulent
6661273533,500,20500,yes,0,no,no,754,585,7,fraudulent
6661273531,500,16500,yes,0,no,no,754,585,7,fraudulent
6661273532,1500,12000,yes,0,yes,yes,754,585,7,non-fraudulent
6661273532,500,11000,yes,0,no,no,754,585,7,non-fraudulent
6661273532,800,0,yes,0,no,no,754,585,7,non-fraudulent
3527533497,998.3440744,26955.29001,no,0,yes,yes,701,585,8,fraudulent
5425564944,943.16751,24522.35526,no,0,no,no,914,578,5,non-fraudulent
4133274531,699.5611201,11192.97792,no,0,no,no,939,571,1,non-fraudulent
4397330540,550.9807563,32507.86462,no,0,no,no,707,571,7,fraudulent
4629967388,860.6974012,51641.84407,no,0,yes,yes,667,548,7,fraudulent
3729024090,360.1675018,20169.3801,no,0,no,no,923,542,7,fraudulent
5879049904,986.2171125,56214.37541,no,4,yes,no,876,539,8,fraudulent
5934336477,758.8877891,18213.30694,no,3,no,no,585,532,9,non-fraudulent
6278623414,115.0563898,4487.199202,no,0,yes,no,557,527,7,fraudulent
4786546169,147.1329946,7503.782725,no,6,no,no,901,524,8,fraudulent
4475387183,460.883551,460.883551,no,0,no,no,948,520,4,non-fraudulent
6606661761,756.7421967,37080.36764,no,4,no,no,673,512,8,fraudulent
4954607019,334.3731949,9696.822652,no,0,no,no,649,507,5,non-fraudulent
3752015916,741.7709921,37830.3206,no,0,no,no,589,499,8,fraudulent
3808398633,411.7532238,22234.67409,no,0,no,no,618,497,7,fraudulent
4323742617,810.2947626,3241.17905,no,0,no,no,859,487,1,non-fraudulent
5934351213,925.0870281,24977.34976,no,8,yes,no,822,485,9,fraudulent
5988848064,947.7074177,45489.95605,no,3,no,no,856,483,4,fraudulent
4328588749,815.2512724,1630.502545,no,2,no,no,825,474,3,non-fraudulent
3609627958,983.3165585,25566.23052,no,0,no,no,937,473,2,non-fraudulent
4066779232,646.1567653,18092.38943,no,0,no,no,502,473,3,non-fraudulent
3604409798,18.66793542,784.0532876,no,0,yes,no,973,469,8,fraudulent
4494268948,237.2437568,5693.850163,no,2,no,no,520,467,1,non-fraudulent
5091764220,746.2325632,26864.37228,no,0,no,no,502,441,7,fraudulent
3337530841,697.1947817,697.1947817,no,0,yes,no,530,438,1,non-fraudulent
5902728687,64.31012403,1157.582233,no,0,no,no,857,430,3,non-fraudulent
5687490962,255.2421566,1531.45294,no,0,no,no,848,427,3,non-fraudulent
4700845732,936.975052,14054.62578,no,0,yes,no,573,427,3,non-fraudulent
4099394301,330.6639474,0,no,0,no,no,873,426,4,non-fraudulent
4202639184,730.7886618,41654.95372,no,8,no,no,931,415,9,fraudulent
4128978968,80.53627851,2335.552077,no,0,yes,yes,593,413,8,fraudulent
5276412713,840.0193242,7560.173918,no,0,no,no,604,410,3,non-fraudulent
5345941652,726.0532789,27590.0246,no,0,no,no,802,399,6,fraudulent
5338031118,865.7940313,45887.08366,no,0,no,no,487,393,9,fraudulent
4942320098,620.1060587,25424.34841,no,1,no,no,403,391,4,fraudulent
4117880439,769.7753903,44646.97264,no,8,no,no,959,386,3,fraudulent
6537548014,895.6099868,50154.15926,no,0,no,no,841,386,8,fraudulent
6210230406,241.8275704,13542.34394,no,3,yes,yes,995,381,6,fraudulent
3359690891,152.451565,4116.192255,no,0,yes,yes,865,375,8,fraudulent
4628780648,766.5603656,42160.82011,no,0,no,no,577,367,7,fraudulent
4345258543,398.5830073,11160.3242,no,7,no,no,982,350,1,fraudulent
5124179623,203.6676243,611.0028729,no,0,no,no,683,350,3,non-fraudulent
3569707046,185.0323486,1295.22644,no,3,no,no,435,346,9,non-fraudulent
3160272997,262.5,11287.5,no,0,no,no,900,345.5,7,fraudulent
4573073242,654.0712799,1308.14256,no,0,no,no,759,340,4,non-fraudulent
5020008779,388.4652081,15538.60832,no,8,no,no,954,339,6,fraudulent
5474497608,569.9575183,19378.55562,no,5,yes,no,527,339,8,fraudulent
5498518099,397.8326505,9945.816263,no,7,no,no,993,330,4,fraudulent
6433232020,393.8873696,5908.310544,no,2,no,no,830,327,5,non-fraudulent
4129841331,374.8209988,3373.388989,no,8,no,no,673,321,4,non-fraudulent
5134289117,639.6560067,24306.92825,no,0,no,no,377,319,7,fraudulent
5773200261,949.6271332,9496.271332,no,0,no,no,978,317,5,non-fraudulent
4839374244,204.3112252,5516.40308,no,6,no,no,900,300,4,fraudulent
4398785923,475.2614251,1901.0457,no,0,no,no,795,299,4,non-fraudulent
5233449979,994.0607738,15904.97238,no,0,no,no,601,290,3,non-fraudulent
5648066325,550.0379616,2200.151846,no,0,no,no,567,290,2,non-fraudulent
6505260734,610.6671137,4885.33691,no,0,no,no,993,285,4,non-fraudulent
3816482428,616.445728,15411.1432,no,4,yes,yes,381,284,5,fraudulent
3403918452,334.0842075,0,no,2,no,no,923,267,5,non-fraudulent
5458077208,744.6895868,17872.55008,no,0,no,no,300,262,3,non-fraudulent
4368585217,53.19147758,691.4892085,no,0,no,no,657,251,4,non-fraudulent
4244630120,979.4752417,46035.33636,no,0,no,no,475,244,4,fraudulent
3515458871,931.7107901,7453.686321,no,0,no,no,946,242,4,non-fraudulent
5183376007,749.7096084,23240.99786,no,8,no,no,614,235,1,fraudulent
4835418063,663.1057935,18566.96222,no,2,no,no,640,233,2,non-fraudulent
3557460410,85.54822336,3165.284264,no,0,no,no,454,230,7,fraudulent
3356298138,166.78847,4836.865717,no,0,no,no,721,229,9,fraudulent
4633703602,436.3097896,20506.56011,no,8,no,no,695,228,9,fraudulent
3687691773,644.2848716,19972.83102,no,0,no,no,967,226,9,fraudulent
6283390216,331.8126225,17586.06899,no,0,no,no,398,224,7,fraudulent
4103989208,959.7141485,18234.56882,no,3,yes,no,263,198,4,non-fraudulent
6485322328,421.2386089,19798.21462,no,8,no,no,777,195,1,fraudulent
6419109258,534.4449872,14430.01465,no,0,no,no,780,188,7,fraudulent
4139060865,263.4127903,9746.273241,no,0,yes,no,739,182,8,fraudulent
3954144552,642.6249223,14780.37321,no,0,no,no,718,175,5,non-fraudulent
6346251620,4.011526884,60.17290326,no,0,no,no,290,172,5,non-fraudulent
6654612638,165.7459132,662.9836528,no,0,no,no,274,170,2,non-fraudulent
6028844245,865.2955833,23362.98075,no,4,no,no,572,166,6,fraudulent
5640581601,116.3972908,1396.76749,no,0,no,no,711,162,4,non-fraudulent
4970797577,747.7780271,20937.78476,no,0,no,no,862,152,5,non-fraudulent
5790085700,402.5043924,20930.2284,no,2,yes,yes,961,122,1,fraudulent
6422694428,990.0075826,3960.03033,no,0,no,no,928,115,2,non-fraudulent
5590279794,650.7145049,9110.003069,no,0,no,no,518,111,4,non-fraudulent
3813563637,992.8358237,10921.19406,no,0,no,no,260,102,2,non-fraudulent
5355399779,43.64750081,1440.367527,no,0,no,no,183,101,9,fraudulent
3162041996,185.5,11130,yes,20,no,no,0,0,0,fraudulent
3162041996,185.5,7049,yes,20,no,no,0,0,0,fraudulent
3162041996,185.5,6121.5,yes,20,no,no,0,0,0,fraudulent
4443404173,814.4750536,47239.55311,no,9,no,no,0,0,0,fraudulent
4063172111,886.8957371,44344.78686,no,9,yes,yes,0,0,0,fraudulent
6023215001,790.1523003,41878.07192,no,9,no,no,0,0,0,fraudulent
5703519784,931.9793134,40075.11048,no,9,no,no,0,0,0,fraudulent
3394638119,675.5694754,39858.59905,no,9,yes,no,0,0,0,fraudulent
6189443441,894.7819545,37580.84209,no,9,yes,yes,0,0,0,fraudulent
4858660021,640.0741242,37124.2992,no,9,yes,yes,0,0,0,fraudulent
5959708973,877.8014753,36867.66196,no,9,yes,yes,0,0,0,fraudulent
4453850276,707.2405588,33240.30626,no,9,yes,no,0,0,0,fraudulent
4405257384,619.23554,29723.30592,no,9,yes,yes,0,0,0,fraudulent
4294222139,705.352783,27508.75854,no,9,yes,no,0,0,0,fraudulent
6102479353,489.4387231,26919.12977,no,9,yes,no,0,0,0,fraudulent
3950041893,570.627572,26819.49588,no,9,no,no,0,0,0,fraudulent
5436582563,569.4513831,26764.21501,no,9,yes,no,0,0,0,fraudulent
5795857704,798.1141754,26337.76779,no,9,yes,yes,0,0,0,fraudulent
4881579578,640.1624804,26246.6617,no,9,yes,yes,0,0,0,fraudulent
6101824913,425.4511691,25527.07015,no,9,yes,no,0,0,0,fraudulent
4579872633,978.691432,25445.97723,no,9,no,no,0,0,0,fraudulent
4946946678,551.0820991,24798.69446,no,9,no,no,0,0,0,fraudulent
6561840914,814.1466471,24424.39941,no,9,yes,yes,0,0,0,fraudulent
4684495167,507.067806,22310.98346,no,9,no,no,0,0,0,fraudulent
4835465818,531.3669609,21786.0454,no,9,no,no,0,0,0,fraudulent
5339489340,806.125364,20959.25946,no,9,yes,yes,0,0,0,fraudulent
5731414073,492.558973,20687.47687,no,9,no,no,0,0,0,fraudulent
5892017866,416.9327519,18761.97384,no,9,yes,no,0,0,0,fraudulent
4851963556,510.1006804,16833.32245,no,9,no,no,0,0,0,fraudulent
3852916753,327.2204773,16688.24434,no,9,no,no,0,0,0,fraudulent
3413226850,356.8122632,16056.55184,no,9,yes,yes,0,0,0,fraudulent
4398664733,429.5809401,14605.75196,no,9,yes,yes,0,0,0,fraudulent
6416323290,483.5514489,13539.44057,no,9,no,no,0,0,0,fraudulent
5991109342,515.2839682,13397.38317,no,9,no,no,0,0,0,fraudulent
3386662126,222.5298151,12461.66965,no,9,yes,no,0,0,0,fraudulent
5526236381,418.9848756,10893.60677,no,9,no,no,0,0,0,fraudulent
6353760025,324.6814562,10065.12514,no,9,yes,yes,0,0,0,fraudulent
4664574739,259.3569041,9855.562356,no,9,yes,yes,0,0,0,fraudulent
5108511837,162.269086,8113.4543,no,9,no,no,0,0,0,fraudulent
3905893865,208.0480827,7489.730977,no,9,yes,yes,0,0,0,fraudulent
6298132922,263.3156802,6582.892005,no,9,yes,yes,0,0,0,fraudulent
5440569593,255.8440962,6396.102405,no,9,yes,yes,0,0,0,fraudulent
3465787492,172.5157672,5002.957249,no,9,yes,yes,0,0,0,fraudulent
6124595289,81.92117847,3850.295388,no,9,no,no,0,0,0,fraudulent
4596416910,28.36943391,1163.14679,no,9,yes,yes,0,0,0,fraudulent
4139280493,921.0639299,46974.26042,no,8,yes,yes,0,0,0,fraudulent
4988866051,850.4822313,46776.52272,no,8,yes,no,0,0,0,fraudulent
5449566080,980.8982809,46102.2192,no,8,no,no,0,0,0,fraudulent
3714090682,879.4463782,40454.5334,no,8,yes,no,0,0,0,fraudulent
4314204125,658.1175211,39487.05127,no,8,yes,yes,0,0,0,fraudulent
4748248523,658.3438678,35550.56886,no,8,yes,no,0,0,0,fraudulent
4439427249,815.8508538,35081.58671,no,8,yes,no,0,0,0,fraudulent
5602598291,814.3885462,35018.70749,no,8,yes,yes,0,0,0,fraudulent
3659140079,680.8050065,33359.44532,no,8,yes,no,0,0,0,fraudulent
4713612792,491.2565161,28492.87793,no,8,yes,yes,0,0,0,fraudulent
5675544222,856.7066756,24844.49359,no,8,yes,yes,0,0,0,fraudulent
5560111892,684.2787417,22581.19848,no,8,yes,yes,0,0,0,fraudulent
3408183027,432.0302518,22033.54284,no,8,yes,yes,0,0,0,fraudulent
5491231228,500.7184551,20529.45666,no,8,yes,yes,0,0,0,fraudulent
6553441185,796.4496467,19911.24117,no,8,yes,yes,0,0,0,fraudulent
4127150902,570.5826102,18829.22614,no,8,no,no,0,0,0,fraudulent
4763086973,711.0605246,17776.51312,no,8,yes,no,0,0,0,fraudulent
5284726016,459.2866416,16075.03246,no,8,yes,no,0,0,0,fraudulent
5057209186,284.1427114,15343.70642,no,8,yes,yes,0,0,0,fraudulent
4481195802,487.6495231,14141.83617,no,8,no,no,0,0,0,fraudulent
5022726674,540.6711096,14057.44885,no,8,yes,yes,0,0,0,fraudulent
5943567820,243.7620445,11456.81609,no,8,yes,no,0,0,0,fraudulent
4687490727,396.6188071,11105.3266,no,8,yes,yes,0,0,0,fraudulent
4585226511,256.1895782,9479.014393,no,8,yes,no,0,0,0,fraudulent
6201160714,114.2010307,6623.659781,no,8,yes,yes,0,0,0,fraudulent
5339849253,142.5739552,5845.532163,no,8,no,no,0,0,0,fraudulent
6052221972,101.461186,5174.520486,no,8,yes,no,0,0,0,fraudulent
3160141996,185.5,5008.5,yes,8,no,no,0,0,0,fraudulent
6062032943,58.85243721,3413.441358,no,8,yes,yes,0,0,0,fraudulent
6486520105,107.0893057,3212.679171,no,8,no,no,0,0,0,fraudulent
3774659995,48.43831932,2664.107563,no,8,yes,no,0,0,0,fraudulent
4105344658,52.50319147,1365.082978,no,8,yes,yes,0,0,0,fraudulent
4563845771,31.25395942,1187.650458,no,8,no,no,0,0,0,fraudulent
6070790055,15.74247373,535.2441068,no,8,yes,no,0,0,0,fraudulent
3840707845,10.66365782,458.5372863,no,8,yes,yes,0,0,0,fraudulent
4155574823,9.134958761,429.3430618,no,8,no,no,0,0,0,fraudulent
3811662493,866.4786465,46789.84691,no,7,no,no,0,0,0,fraudulent
3462219091,947.4890276,44531.9843,no,7,yes,no,0,0,0,fraudulent
5636587443,820.8520643,41042.60322,no,7,yes,no,0,0,0,fraudulent
5928254406,899.179126,40463.06067,no,7,no,no,0,0,0,fraudulent
6115607724,918.9229043,40432.60779,no,7,yes,yes,0,0,0,fraudulent
4266029386,924.9840806,39774.31547,no,7,no,no,0,0,0,fraudulent
4818869188,644.0231767,37997.36743,no,7,yes,yes,0,0,0,fraudulent
4970606263,589.1127234,34757.65068,no,7,yes,yes,0,0,0,fraudulent
3785986636,578.1520606,32376.51539,no,7,no,no,0,0,0,fraudulent
5309800449,846.6760804,30480.33889,no,7,no,no,0,0,0,fraudulent
4544005938,744.816824,29047.85614,no,7,no,no,0,0,0,fraudulent
4130501464,483.9256352,26131.9843,no,7,yes,yes,0,0,0,fraudulent
4224420959,428.1894204,25263.1758,no,7,no,no,0,0,0,fraudulent
5035552703,413.7465063,24824.79038,no,7,no,no,0,0,0,fraudulent
3376306597,601.4529708,24659.5718,no,7,no,no,0,0,0,fraudulent
5845551567,404.1382887,23440.02074,no,7,yes,no,0,0,0,fraudulent
5693783739,500.0066511,22000.29265,no,7,yes,yes,0,0,0,fraudulent
4172276215,616.3847055,19724.31058,no,7,yes,yes,0,0,0,fraudulent
4718777983,366.1841195,17943.02186,no,7,yes,yes,0,0,0,fraudulent
4061849015,308.0830989,17868.81974,no,7,no,no,0,0,0,fraudulent
3675535563,480.7217025,17305.98129,no,7,yes,yes,0,0,0,fraudulent
3800617237,282.8443803,15556.44092,no,7,no,no,0,0,0,fraudulent
4223065137,317.7292099,14297.81445,no,7,no,no,0,0,0,fraudulent
3651341559,434.5973006,13472.51632,no,7,yes,yes,0,0,0,fraudulent
4667293611,253.8673429,13201.10183,no,7,yes,no,0,0,0,fraudulent
3742656867,199.1953372,11752.52489,no,7,yes,no,0,0,0,fraudulent
5859908215,337.8148501,8783.186103,no,7,yes,yes,0,0,0,fraudulent
4639560839,128.0026311,7424.152604,no,7,no,no,0,0,0,fraudulent
4648858919,110.1401282,6498.267564,no,7,no,no,0,0,0,fraudulent
4898289645,141.7425944,5669.703776,no,7,yes,yes,0,0,0,fraudulent
4232210297,67.75952614,3455.735833,no,7,yes,no,0,0,0,fraudulent
6516357223,43.21184997,2333.439898,no,7,yes,yes,0,0,0,fraudulent
4192972254,70.55375568,2187.166426,no,7,no,no,0,0,0,fraudulent
4161661486,29.16618193,904.1516398,no,7,yes,yes,0,0,0,fraudulent
6586987902,973.996789,56491.81376,no,6,yes,no,0,0,0,fraudulent
6612448144,979.5642622,49957.77737,no,6,yes,yes,0,0,0,fraudulent
5766099974,847.9098005,42395.49003,no,6,yes,yes,0,0,0,fraudulent
5696577327,756.0365827,42338.04863,no,6,yes,no,0,0,0,fraudulent
6656725630,769.0106009,40757.56185,no,6,yes,yes,0,0,0,fraudulent
5475382688,969.4199486,37807.378,no,6,yes,yes,0,0,0,fraudulent
4736685684,753.8463192,37692.31596,no,6,yes,no,0,0,0,fraudulent
4751116909,880.0117675,29920.4001,no,6,yes,no,0,0,0,fraudulent
4908055617,801.2300183,29645.51068,no,6,yes,no,0,0,0,fraudulent
4779494254,987.6684847,28642.38606,no,6,no,no,0,0,0,non-fraudulent
5495610149,913.0344755,28304.06874,no,6,yes,yes,0,0,0,fraudulent
4890143931,740.2046238,23686.54796,no,6,yes,yes,0,0,0,fraudulent
4576152716,842.0108516,21050.27129,no,6,no,no,0,0,0,non-fraudulent
6235547105,719.0992984,20853.87965,no,6,yes,no,0,0,0,non-fraudulent
5688747995,506.9870067,20786.46727,no,6,yes,yes,0,0,0,fraudulent
6152532235,701.6383407,17540.95852,no,6,yes,no,0,0,0,non-fraudulent
3716861385,874.0810164,16607.53931,no,6,yes,no,0,0,0,non-fraudulent
6051871856,562.7565227,15757.18264,no,6,yes,no,0,0,0,fraudulent
4119237225,875.3891965,15757.00554,no,6,no,no,0,0,0,non-fraudulent
4378980797,359.9114021,15476.19029,no,6,yes,no,0,0,0,fraudulent
3785665909,532.2414183,15435.00113,no,6,yes,yes,0,0,0,fraudulent
3604056060,734.5007466,15424.51568,no,6,no,no,0,0,0,non-fraudulent
5673635669,273.0599823,15291.35901,no,6,yes,yes,0,0,0,fraudulent
5580439313,608.8474925,15221.18731,no,6,no,no,0,0,0,non-fraudulent
3908656072,664.1686305,14611.70987,no,6,no,no,0,0,0,non-fraudulent
6373314979,764.9526742,14534.10081,no,6,no,no,0,0,0,non-fraudulent
5702044213,750.4253965,14258.08253,no,6,no,no,0,0,0,non-fraudulent
4921096287,581.9802791,13967.5267,no,6,no,no,0,0,0,non-fraudulent
5364346516,604.4478463,13902.30046,no,6,no,no,0,0,0,non-fraudulent
3338290326,660.9056456,13879.01856,no,6,no,no,0,0,0,non-fraudulent
3406913277,976.8788131,12699.42457,no,6,no,no,0,0,0,non-fraudulent
5085567933,451.4402669,12640.32747,no,6,no,no,0,0,0,non-fraudulent
4714293937,688.6822174,12396.27991,no,6,no,no,0,0,0,non-fraudulent
5847844000,815.6226545,12234.33982,no,6,no,no,0,0,0,non-fraudulent
6580583830,695.7866069,11828.37232,no,6,no,no,0,0,0,non-fraudulent
5475836334,429.0086695,11583.23408,no,6,no,no,0,0,0,non-fraudulent
3942446683,961.4787821,11537.74539,no,6,no,no,0,0,0,non-fraudulent
3722133584,538.9531178,11318.01547,no,6,no,no,0,0,0,non-fraudulent
5697245104,524.6003824,11016.60803,no,6,no,no,0,0,0,non-fraudulent
